"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date_extracted","day_of_week","time_extracted","hour_extract"
"1","RT @martalmcomposer: Film #composer life... all the #music! https://t.co/ylnolsDznU",FALSE,0,NA,2017-09-01 23:59:30,FALSE,NA,"903769315345920000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","josetama22",19,TRUE,FALSE,NA,NA,2017-09-01,"Fri",1,23
"2","RT @MMATOpera: You never know who you can meet at #Opera!
Stephen Hawking and Placido Domingo 
Welcome to join the Club:
https://t.co/ImUnG‚Ä¶",FALSE,0,NA,2017-09-01 23:53:41,FALSE,NA,"903767850174820352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","G2Whisky",40,TRUE,FALSE,NA,NA,2017-09-01,"Fri",2,23
"3","EXCITING MUSIC ‚ù§ https://t.co/htcvVISD3c ‚ù§#Composer #EpicFriday #Music #NowPlaying #Musician #Fantasy #Enjoy‚Ä¶ https://t.co/MnhtfUpscJ",FALSE,3,NA,2017-09-01 23:45:43,TRUE,NA,"903765847759605761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KJMFanPage",3,FALSE,FALSE,NA,NA,2017-09-01,"Fri",3,23
"4","Feast your ears, book your tickets, Melbourne #Orpheus #Montiverdi #Opera@vca_mcm @unimelb@MeatMarketMelb  https://t.co/do4DZEdvAq",FALSE,0,NA,2017-09-01 23:40:05,FALSE,NA,"903764427480203266",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ThinkEmotions",2,FALSE,FALSE,NA,NA,2017-09-01,"Fri",4,23
"5","RT @argent_games: Thanks for all the responses so far :D. Still looking for more~ #gamedev #composer #music #ost #indiedev #gameaudio",FALSE,0,NA,2017-09-01 23:39:09,FALSE,NA,"903764194671067136",NA,"<a href=""http://www.cindie.com.br"" rel=""nofollow"">AprenderGDV</a>","AprenderGameDev",8,TRUE,FALSE,NA,NA,2017-09-01,"Fri",5,23
"6","RT @argent_games: Thanks for all the responses so far :D. Still looking for more~ #gamedev #composer #music #ost #indiedev #gameaudio",FALSE,0,NA,2017-09-01 23:38:17,FALSE,NA,"903763976412168196",NA,"<a href=""http://nauta.ga"" rel=""nofollow"">Nauta News</a>","nautabotnews",8,TRUE,FALSE,NA,NA,2017-09-01,"Fri",6,23
"7","Thanks for all the responses so far :D. Still looking for more~ #gamedev #composer #music #ost #indiedev #gameaudio",FALSE,3,"argent_games",2017-09-01 23:37:50,FALSE,"903453086097793024","903763861282672641","4715103732","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","argent_games",8,FALSE,FALSE,NA,NA,2017-09-01,"Fri",7,23
"8","Seeing and feeling the Spring!
#classicalmusic #AustralianPianoDuo
#travel
#griffithalumni 
#pianoduos
#artgallery https://t.co/zG256QGkps",FALSE,0,NA,2017-09-01 23:32:18,FALSE,NA,"903762467943325697",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","AusPianoDuo",0,FALSE,FALSE,NA,NA,2017-09-01,"Fri",8,23
"9","Congratulations to amazing young #Soprano @sophieoc1 on a wonderful night of song in Prosperous, ably joined by Nia‚Ä¶ https://t.co/JmPPhjmluV",FALSE,2,NA,2017-09-01 23:31:08,TRUE,NA,"903762175625453572",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DecB1",2,FALSE,FALSE,NA,NA,2017-09-01,"Fri",9,23
"10","#Mozart : Concerto pour piano n¬∞27:1er mvt - M.Uchida / Orch Cleveland .#Radio #classicalmusic",FALSE,0,NA,2017-09-01 23:24:27,FALSE,NA,"903760495936753664",NA,"<a href=""http://www.zenon-media.com/"" rel=""nofollow"">MetadataExport</a>","ClassiqueLive",0,FALSE,FALSE,NA,NA,2017-09-01,"Fri",10,23
"11","RT @ElixirStrings: On this day in 1981, Hall &amp; Oates release 'Private Eyes'.

#musichistory https://t.co/1ccTp5Jz1m",FALSE,0,NA,2017-09-01 23:23:41,FALSE,NA,"903760301128126471",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doriginalsigbin",2,TRUE,FALSE,NA,NA,2017-09-01,"Fri",11,23
"12","RT @UpgradeMySeatUS: #Clayton #OperaHouse Warns Of #Fake #Tickets https://t.co/YzOffPqlBt #USA #Opera #AI #Theatre #Entertainment #play #st‚Ä¶",FALSE,0,NA,2017-09-01 23:23:06,FALSE,NA,"903760154558160896",NA,"<a href=""http://www.calcaware.com"" rel=""nofollow"">Calcaware Fallback</a>","Calcaware",32,TRUE,FALSE,NA,NA,2017-09-01,"Fri",12,23
"13","RT @UpgradeMySeatUS: #Clayton #OperaHouse Warns Of #Fake #Tickets https://t.co/YzOffPqlBt #USA #Opera #AI #Theatre #Entertainment #play #st‚Ä¶",FALSE,0,NA,2017-09-01 23:22:35,FALSE,NA,"903760022592790529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BuyThingsHere_",32,TRUE,FALSE,NA,NA,2017-09-01,"Fri",13,23
"14","Bosnian beauty #goranvonkarkin #grandemaestro #tenore #light #love #friends #singing #opera‚Ä¶ https://t.co/bFtR6EjPMb",FALSE,0,NA,2017-09-01 23:20:44,FALSE,NA,"903759557083705344",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","GoranvonKarkin",0,FALSE,FALSE,NA,NA,2017-09-01,"Fri",14,23
"15","RT @AlessandroForn6: MY PAINTING, ""MODULATION FROM G MINOR TO F MAJOR"" 2017 #art #arttwit #artlover #classical #ClassicalMusic @AlessandroF‚Ä¶",FALSE,0,NA,2017-09-01 23:19:11,FALSE,NA,"903759168183644164",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elipez58",43,TRUE,FALSE,NA,NA,2017-09-01,"Fri",15,23
"16",".@CelloGoddess Maya #Beiser wants #classicalmusic to rock like Janis Joplin https://t.co/juTaJTQgch via @azjewishpost",FALSE,0,NA,2017-09-01 23:16:37,FALSE,NA,"903758522256646144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AZjewishpost",0,FALSE,FALSE,NA,NA,2017-09-01,"Fri",16,23
"17","RT @today_classical: #TOday in 1963 FP of #Britten's Cantata Misericordium in Geneva, Switzerland. #MusicHistory #classicalmusic https://t.‚Ä¶",FALSE,0,NA,2017-09-01 23:10:54,FALSE,NA,"903757083190984705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhillipWSerna",2,TRUE,FALSE,NA,NA,2017-09-01,"Fri",17,23
"18","#FF #Composer check him out..
@Scotthaskin31",FALSE,1,NA,2017-09-01 23:10:52,FALSE,NA,"903757075209179136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","brucebray",0,FALSE,FALSE,NA,NA,2017-09-01,"Fri",18,23
"19","Shocking shakeup at Oregon Bach Festival: https://t.co/WuPCd2cIfP #classicalmusic #OBF https://t.co/I0DtvB20oK",FALSE,0,NA,2017-09-01 23:09:18,FALSE,NA,"903756680147566592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vscher",0,FALSE,FALSE,NA,NA,2017-09-01,"Fri",19,23
"20","RT @kathieyes: Today in #MusicHistory #PrInCe &amp; #3rdEyeGirl released #WhiteCaps #Single  as a download in 2014. #PlectrumElectrum Ì†ºÌæºÌ†ΩÌ≤úÌ†ºÌæ∂",FALSE,0,NA,2017-09-01 23:07:33,FALSE,NA,"903756241159286784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","army_ida",1,TRUE,FALSE,NA,NA,2017-09-01,"Fri",20,23
"21","RT @momoyomusic: Happy Birthday @johannpachelbel Ì†ºÌæâ greetings from #Valencia ‚ù§Ô∏è #classicalmusic Ì†ºÌæª https://t.co/GAeN7Z0S3p",FALSE,0,NA,2017-09-01 23:06:48,FALSE,NA,"903756052084215808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarianneSchro11",3,TRUE,FALSE,NA,NA,2017-09-01,"Fri",21,23
"22","RT @CIassicalMusic: US orchestra appoints British CEO https://t.co/FxoRnbuAEN #ClassicalMusic https://t.co/9gHVV9TyTm",FALSE,0,NA,2017-09-01 23:05:34,FALSE,NA,"903755741730918401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maxemc",1,TRUE,FALSE,NA,NA,2017-09-01,"Fri",22,23
